LPR ID,LPR Latitude,LPR Longitude,LPR Orientation,Event Date,License Plate,License State
LPR00032,39.29370826,-76.65038375,95,1462190400000,9CMK71,MD
LPR00032,39.29370826,-76.65038375,95,1462190404000,TUB964,MD
LPR00032,39.29370826,-76.65038375,95,1462190405000,48424 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462190405000,A055526,MD
LPR00032,39.29370826,-76.65038375,95,1462190406000,A562818,MD
LPR00032,39.29370826,-76.65038375,95,1462190409000,2U/Q7410,MD
LPR00032,39.29370826,-76.65038375,95,1462190410000,A776431,MD
LPR00032,39.29370826,-76.65038375,95,1462190411000,A523572,MD
LPR00032,39.29370826,-76.65038375,95,1462190412000,32385 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462190414000,6H/S5705,MD
LPR00032,39.29370826,-76.65038375,95,1462190414000,A777973,MD
LPR00032,39.29370826,-76.65038375,95,1462190417000,RGR691,MD
LPR00032,39.29370826,-76.65038375,95,1462190422000,90355 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462190425000,A508779,MD
LPR00032,39.29370826,-76.65038375,95,1462190425000,7Z/J0462,MD
LPR00032,39.29370826,-76.65038375,95,1462190426000,2M/D 5446,MD
LPR00032,39.29370826,-76.65038375,95,1462190430000,DAF024,MD
LPR00032,39.29370826,-76.65038375,95,1462190432000,8BMB08,MD
LPR00032,39.29370826,-76.65038375,95,1462190433000,93746 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462190433000,97860 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462190434000,A716098,MD
LPR00032,39.29370826,-76.65038375,95,1462190435000,YYY942,MD
LPR00032,39.29370826,-76.65038375,95,1462190440000,A233911,MD
LPR00032,39.29370826,-76.65038375,95,1462190441000,96484 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462190441000,5A/G0677,MD
LPR00032,39.29370826,-76.65038375,95,1462190442000,14612 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462190443000,59584 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462190449000,9BMS83,MD
LPR00032,39.29370826,-76.65038375,95,1462190451000,6Y/G5557,MD
LPR00032,39.29370826,-76.65038375,95,1462190452000,A903980,MD
LPR00032,39.29370826,-76.65038375,95,1462190455000,A509314,MD
LPR00032,39.29370826,-76.65038375,95,1462190460000,UHG325,MD
LPR00032,39.29370826,-76.65038375,95,1462190461000,8CND549,MD
LPR00032,39.29370826,-76.65038375,95,1462190464000,7M/D 5039,MD
LPR00032,39.29370826,-76.65038375,95,1462190468000,A463904,MD
LPR00032,39.29370826,-76.65038375,95,1462190470000,OZR332,MD
LPR00032,39.29370826,-76.65038375,95,1462190472000,PBQ019,MD
LPR00032,39.29370826,-76.65038375,95,1462190474000,5CNJ178,MD
LPR00032,39.29370826,-76.65038375,95,1462190475000,A026230,MD
LPR00032,39.29370826,-76.65038375,95,1462190475000,4BLZ40,MD
LPR00032,39.29370826,-76.65038375,95,1462190476000,4CMK77,MD
LPR00032,39.29370826,-76.65038375,95,1462190476000,FUF912,MD
LPR00032,39.29370826,-76.65038375,95,1462190476000,8CLK43,MD
LPR00032,39.29370826,-76.65038375,95,1462190477000,4ALV64,MD
