Date/Time,Latitude,Longitude,License Plate,License State
1462190400000,39.287085370938165,-76.67237001767782,3CLS77,MD
1462190401000,39.28706210333536,-76.67236899354052,36866 C/B,MD
1462190402000,39.285190908699064,-76.67597027896818,MOX222,MD
1462190403000,39.29411817430213,-76.67120593361172,9CMZ08,MD
1462190405000,39.29422023086681,-76.67124117478603,9CNP458,MD
1462190406000,39.28710716547395,-76.67237097697722,A461539,MD
1462190406000,39.294123693261064,-76.67112192612639,2J/D0793,MD
1462190407000,39.29412355157719,-76.67112401201986,79567 C/A,MD
1462190408000,39.29412282754015,-76.67113467141327,3CNY843,MD
1462190408000,39.29422024946961,-76.67123937483646,IJU786,MD
1462190408000,39.294120440154494,-76.67117085522501,HHK402,MD
1462190410000,39.28377513505724,-76.67869302472046,50665 C/B,MD
1462190410000,39.28631656816097,-76.67375705683732,A078328,MD
1462190412000,39.287101204929044,-76.67237071462031,5ALI64,MD
1462190413000,39.28708741402011,-76.67237010760529,A012285,MD
1462190414000,39.287047009108164,-76.67236832915917,47889 C/B,MD
1462190414000,39.2941207206896,-76.6711665121712,77527 C/A,MD
1462190414000,39.28377657727533,-76.67870143712291,9CNQ968,MD
1462190415000,39.29412087673668,-76.67116409635638,06438 C/A,MD
1462190417000,39.29412010516915,-76.67117604124059,7BLE23,MD
1462190418000,39.29411860457935,-76.67119927235215,A176496,MD
1462190418000,39.28705588421992,-76.67236871980246,2ALY28,MD
1462190418000,39.28713742171008,-76.67237230872337,5CLP72,MD
1462190420000,39.283774871489065,-76.67869148733749,8BLA37,MD
1462190420000,39.294123847195024,-76.67111965988505,45692 C/C,MD
1462190420000,39.2871017093876,-76.67237073682435,ZRO218,MD
1462190423000,39.29412114157037,-76.67115999638101,A507345,MD
1462190424000,39.29422189925022,-76.67117220944723,5CNX374,MD
1462190424000,39.28708104332271,-76.67236982719527,A658272,MD
1462190426000,39.29411708422575,-76.6712228094335,A469629,MD
1462190426000,39.29411700955942,-76.67122396536695,6CNA331,MD
1462190427000,39.2942228941669,-76.67115642923743,A634879,MD
1462190428000,39.28378248779488,-76.67873591295529,A764611,MD
1462190428000,39.28704215662234,-76.67236811557413,HRA555,MD
1462190428000,39.28378299172381,-76.67873885235328,A797828,MD
1462190429000,39.28632471133828,-76.67376785841537,A463826,MD
1462190429000,39.29412174409552,-76.67115066849614,A466423,MD
1462190430000,39.29411773582624,-76.67121272179754,9T/E6820,MD
1462190431000,39.294118499091205,-76.67120090544793,79394 C/A,MD
1462190431000,39.29422287311079,-76.67115676320502,1AMB36,MD
1462190431000,39.294116987746214,-76.67122430306416,A506383,MD
1462190431000,39.2941207206896,-76.6711665121712,3CNR115,MD
1462190432000,39.283785146479765,-76.67875142096159,7AMY05,MD
1462190433000,39.28705341625113,-76.67236861117337,JQG196,MD
1462190433000,39.294117416454945,-76.67121766608685,XQN312,MD
1462190436000,39.28378741058877,-76.678764627422,83590 B/Y,MD
1462190436000,39.28378024456181,-76.67872282826336,A051927,MD
1462190437000,39.28702798459141,-76.6723674917838,00824 C/C,MD
1462190437000,39.294222270282184,-76.67116632457028,7BLP98,MD
1462190437000,39.29411906345735,-76.67119216831472,93407 C/C,MD
1462190438000,39.29412371819414,-76.67112155905737,5AMY28,MD
1462190438000,39.28378226471186,-76.67873461172063,9CNK436,MD
1462190438000,39.294122652940835,-76.67113724189336,A072890,MD
1462190438000,39.28378653796316,-76.67875953743048,A887982,MD
1462190440000,39.29412139028454,-76.67115614595737,SSS203,MD
1462190440000,39.29422043037362,-76.67122187112112,36222 C/C,MD
1462190442000,39.294121000332005,-76.67116218293742,14638 C/A,MD
1462190442000,39.2941187479496,-76.67119705279141,9ALD59,MD
1462190442000,39.294120103571686,-76.67117606597144,6CNT934,MD
1462190443000,39.29422189925022,-76.67117220944723,06378 C/A,MD
1462190444000,39.28709152664909,-76.67237028862509,4AMJ33,MD
1462190444000,39.29412345325061,-76.6711254596,5U/J0162,MD
1462190444000,39.294117252251944,-76.67122020816616,6ALU14,MD
1462190444000,39.29411817200373,-76.67120596919403,2CLM30,MD
1462190444000,39.294123944652995,-76.67111822509266,A711162,MD
1462190445000,39.294123053641314,-76.6711313427144,1E/M2906,MD
1462190445000,39.28704506976399,-76.67236824379779,EGW389,MD
1462190446000,39.28378995894064,-76.67877949186007,EGD409,MD
1462190448000,39.29411898144304,-76.67119343800458,32907 B/Y,MD
1462190449000,39.28377657727533,-76.67870143712291,A411866,MD
1462190449000,39.287040384982646,-76.67236803759437,8M/D 9738,MD
1462190449000,39.29412318523186,-76.67112940541652,3CNQ455,MD
1462190449000,39.294123085076585,-76.67113087991916,1CLB20,MD
1462190449000,39.28378024456181,-76.67872282826336,5CNM493,MD
1462190450000,39.294117258620474,-76.67122010957289,8CLE30,MD
1462190451000,39.294121840497375,-76.67114920282069,2CMP26,MD
1462190451000,39.28377927281067,-76.6787171600765,9V/R9879,MD
1462190451000,39.294220745849294,-76.67119134666552,84700 B/Y,MD
1462190452000,39.29412058300728,-76.6711686436753,NOS113,MD
1462190452000,39.29412153290598,-76.67115393798898,A799027,MD
1462190452000,39.29411985517306,-76.6711799115102,47207 C/A,MD
1462190456000,39.28713694741557,-76.67237228784701,93089 B/Y,MD
1462190456000,39.294124206249215,-76.67111437382967,5CLX05,MD
1462190458000,39.283775299802436,-76.67869398567282,A700658,MD
1462190458000,39.2941207206896,-76.6711665121712,A314005,MD
1462190459000,39.283784342171934,-76.67874672946503,3CLZ42,MD
1462190459000,39.28378760814426,-76.67876577975555,37432 C/A,MD
1462190461000,39.29422308500173,-76.67115340243757,4AMG57,MD
1462190462000,39.28711627949691,-76.67237137813633,6M/D 2507,MD
1462190462000,39.28705640614083,-76.67236874277513,A753712,MD
1462190464000,39.29411791855478,-76.67120989291834,5CNC453,MD
1462190464000,39.28712093161646,-76.67237158290213,CFN251,MD
1462190464000,39.29411892938518,-76.67119424392904,4CNU175,MD
1462190465000,39.29412288103718,-76.67113388382106,8AMI34,MD
1462190466000,39.28703667562277,-76.67236787432469,A372972,MD
1462190466000,39.283773695740614,-76.67868462924217,A586102,MD
1462190467000,39.29412406734644,-76.67111641877939,7T/L2041,MD
1462190468000,39.283787469903785,-76.6787649734042,0G/Y6330,MD
