LPR ID,LPR Latitude,LPR Longitude,LPR Orientation,Event Date,License Plate,License State
LPR00032,39.29370826,-76.65038375,95,1462392373000,29166 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462392506000,IUJ837,MD
LPR00032,39.29370826,-76.65038375,95,1462392547000,80777 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462392552000,IKU302,MD
LPR00032,39.29370826,-76.65038375,95,1462392552000,A256329,MD
LPR00032,39.29370826,-76.65038375,95,1462392564000,8CNM213,MD
LPR00032,39.29370826,-76.65038375,95,1462392664000,A628250,MD
LPR00032,39.29370826,-76.65038375,95,1462392683000,A926133,MD
LPR00032,39.29370826,-76.65038375,95,1462392735000,4M/D 2271,MD
LPR00032,39.29370826,-76.65038375,95,1462392799000,A922105,MD
LPR00032,39.29370826,-76.65038375,95,1462392804000,A084527,MD
LPR00032,39.29370826,-76.65038375,95,1462392807000,6BLJ35,MD
LPR00032,39.29370826,-76.65038375,95,1462392957000,AXF066,MD
LPR00032,39.29370826,-76.65038375,95,1462392980000,6CMH97,MD
LPR00032,39.29370826,-76.65038375,95,1462392985000,4M/D 3052,MD
LPR00032,39.29370826,-76.65038375,95,1462392987000,65344 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462393044000,21397 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462393084000,NZJ063,MD
LPR00032,39.29370826,-76.65038375,95,1462393090000,3CNK624,MD
LPR00032,39.29370826,-76.65038375,95,1462393108000,2BLJ80,MD
LPR00032,39.29370826,-76.65038375,95,1462393133000,A861441,MD
LPR00032,39.29370826,-76.65038375,95,1462393147000,5BLO53,MD
LPR00032,39.29370826,-76.65038375,95,1462393149000,EAP673,MD
LPR00032,39.29370826,-76.65038375,95,1462393180000,58915 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462393236000,3CMB50,MD
LPR00032,39.29370826,-76.65038375,95,1462393325000,2CNE172,MD
LPR00032,39.29370826,-76.65038375,95,1462393361000,26149 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462393380000,6CNS834,MD
LPR00032,39.29370826,-76.65038375,95,1462393425000,HRC474,MD
LPR00032,39.29370826,-76.65038375,95,1462393438000,8BLG35,MD
LPR00032,39.29370826,-76.65038375,95,1462393446000,4A/T7051,MD
LPR00032,39.29370826,-76.65038375,95,1462393461000,SNN608,MD
LPR00032,39.29370826,-76.65038375,95,1462393517000,01499 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462393546000,9CNO694,MD
LPR00032,39.29370826,-76.65038375,95,1462393558000,NXO032,MD
LPR00032,39.29370826,-76.65038375,95,1462393604000,5CME88,MD
LPR00032,39.29370826,-76.65038375,95,1462393632000,0O/F1437,MD
LPR00032,39.29370826,-76.65038375,95,1462393636000,A896829,MD
LPR00032,39.29370826,-76.65038375,95,1462393636000,95201 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462393645000,27148 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462393691000,A574936,MD
LPR00032,39.29370826,-76.65038375,95,1462393692000,1BMU66,MD
LPR00032,39.29370826,-76.65038375,95,1462393703000,8K/L2667,MD
LPR00032,39.29370826,-76.65038375,95,1462393704000,VCN114,MD
LPR00032,39.29370826,-76.65038375,95,1462393746000,A953169,MD
LPR00032,39.29370826,-76.65038375,95,1462393796000,QXS251,MD
LPR00032,39.29370826,-76.65038375,95,1462393818000,2M/F1599,MD
LPR00032,39.29370826,-76.65038375,95,1462393832000,A032700,MD
LPR00032,39.29370826,-76.65038375,95,1462393858000,2CNP041,MD
LPR00032,39.29370826,-76.65038375,95,1462393926000,06114 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462393939000,NHO299,MD
LPR00032,39.29370826,-76.65038375,95,1462393969000,A243286,MD
LPR00032,39.29370826,-76.65038375,95,1462393979000,A147699,MD
LPR00032,39.29370826,-76.65038375,95,1462393981000,1M/D 9545,MD
LPR00032,39.29370826,-76.65038375,95,1462394038000,88201 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462394087000,2CNA389,MD
LPR00032,39.29370826,-76.65038375,95,1462394152000,3CNR115,MD
LPR00032,39.29370826,-76.65038375,95,1462394157000,QBA118,MD
LPR00032,39.29370826,-76.65038375,95,1462394266000,25294 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462394284000,72813 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462394327000,15521 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462394347000,11927 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462394351000,2BLI83,MD
LPR00032,39.29370826,-76.65038375,95,1462394360000,7BMF35,MD
LPR00032,39.29370826,-76.65038375,95,1462394501000,MTI622,MD
LPR00032,39.29370826,-76.65038375,95,1462394652000,A928993,MD
LPR00032,39.29370826,-76.65038375,95,1462394656000,4AMU93,MD
LPR00032,39.29370826,-76.65038375,95,1462394781000,HSI004,MD
LPR00032,39.29370826,-76.65038375,95,1462394795000,A751531,MD
LPR00032,39.29370826,-76.65038375,95,1462394838000,1V/N5442,MD
LPR00032,39.29370826,-76.65038375,95,1462394883000,4C/F0568,MD
LPR00032,39.29370826,-76.65038375,95,1462394889000,A777579,MD
LPR00032,39.29370826,-76.65038375,95,1462394987000,25081 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462394995000,A808478,MD
LPR00032,39.29370826,-76.65038375,95,1462395001000,A644994,MD
LPR00032,39.29370826,-76.65038375,95,1462395021000,3AMO14,MD
LPR00032,39.29370826,-76.65038375,95,1462395048000,JTN469,MD
LPR00032,39.29370826,-76.65038375,95,1462395061000,MTS397,MD
LPR00032,39.29370826,-76.65038375,95,1462395061000,PJC175,MD
LPR00032,39.29370826,-76.65038375,95,1462395063000,50668 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462395067000,40598 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462395070000,95759 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462395074000,5CMC62,MD
LPR00032,39.29370826,-76.65038375,95,1462395074000,66190 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462395109000,7Y/N6571,MD
LPR00032,39.29370826,-76.65038375,95,1462395142000,3CMP19,MD
LPR00032,39.29370826,-76.65038375,95,1462395169000,A755060,MD
LPR00032,39.29370826,-76.65038375,95,1462395176000,A536121,MD
LPR00032,39.29370826,-76.65038375,95,1462395177000,TML921,MD
LPR00032,39.29370826,-76.65038375,95,1462395183000,A217432,MD
LPR00032,39.29370826,-76.65038375,95,1462395190000,60764 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462395191000,PRO856,MD
LPR00032,39.29370826,-76.65038375,95,1462395201000,28328 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462395203000,BTG994,MD
LPR00032,39.29370826,-76.65038375,95,1462395219000,MAX786,MD
LPR00032,39.29370826,-76.65038375,95,1462395241000,A945274,MD
LPR00032,39.29370826,-76.65038375,95,1462395245000,6CMJ45,MD
LPR00032,39.29370826,-76.65038375,95,1462395249000,A470282,MD
LPR00032,39.29370826,-76.65038375,95,1462395249000,1CMQ73,MD
LPR00032,39.29370826,-76.65038375,95,1462395254000,13201 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462395256000,SSK144,MD
LPR00032,39.29370826,-76.65038375,95,1462395260000,3BLB97,MD
LPR00032,39.29370826,-76.65038375,95,1462395267000,5CNX872,MD
LPR00032,39.29370826,-76.65038375,95,1462395269000,OWR925,MD
LPR00032,39.29370826,-76.65038375,95,1462395280000,9BLA96,MD
LPR00032,39.29370826,-76.65038375,95,1462395282000,68492 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462395282000,8AMI86,MD
LPR00032,39.29370826,-76.65038375,95,1462395292000,A041160,MD
LPR00032,39.29370826,-76.65038375,95,1462395329000,7BLJ39,MD
LPR00032,39.29370826,-76.65038375,95,1462395330000,A877924,MD
LPR00032,39.29370826,-76.65038375,95,1462395338000,URN285,MD
LPR00032,39.29370826,-76.65038375,95,1462395351000,9CMA95,MD
LPR00032,39.29370826,-76.65038375,95,1462395353000,7M/D 0743,MD
LPR00032,39.29370826,-76.65038375,95,1462395354000,A244041,MD
LPR00032,39.29370826,-76.65038375,95,1462395356000,A792801,MD
LPR00032,39.29370826,-76.65038375,95,1462395363000,A243373,MD
LPR00032,39.29370826,-76.65038375,95,1462395369000,5BLD96,MD
LPR00032,39.29370826,-76.65038375,95,1462395372000,3M/D 4661,MD
LPR00032,39.29370826,-76.65038375,95,1462395395000,NGR759,MD
LPR00032,39.29370826,-76.65038375,95,1462395403000,95118 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462395412000,AXA476,MD
LPR00032,39.29370826,-76.65038375,95,1462395422000,05703 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462395425000,8CMO20,MD
LPR00032,39.29370826,-76.65038375,95,1462395427000,VBE973,MD
LPR00032,39.29370826,-76.65038375,95,1462395443000,8CNJ441,MD
LPR00032,39.29370826,-76.65038375,95,1462395445000,HDS932,MD
LPR00032,39.29370826,-76.65038375,95,1462395459000,A931613,MD
LPR00032,39.29370826,-76.65038375,95,1462395466000,8CNL957,MD
LPR00032,39.29370826,-76.65038375,95,1462395466000,0M/D 2369,MD
LPR00032,39.29370826,-76.65038375,95,1462395493000,3CNJ652,MD
LPR00032,39.29370826,-76.65038375,95,1462395503000,JKM167,MD
LPR00032,39.29370826,-76.65038375,95,1462395505000,EYC323,MD
LPR00032,39.29370826,-76.65038375,95,1462395508000,A966772,MD
LPR00032,39.29370826,-76.65038375,95,1462395514000,9CND089,MD
LPR00032,39.29370826,-76.65038375,95,1462395515000,TCY674,MD
LPR00032,39.29370826,-76.65038375,95,1462395516000,BGF002,MD
LPR00032,39.29370826,-76.65038375,95,1462395522000,1CME95,MD
LPR00032,39.29370826,-76.65038375,95,1462395528000,4E/Q9348,MD
LPR00032,39.29370826,-76.65038375,95,1462395536000,A417375,MD
LPR00032,39.29370826,-76.65038375,95,1462395538000,1M/D 1156,MD
LPR00032,39.29370826,-76.65038375,95,1462395544000,9M/D 9753,MD
LPR00032,39.29370826,-76.65038375,95,1462395547000,1BLH01,MD
LPR00032,39.29370826,-76.65038375,95,1462395549000,ZLS876,MD
LPR00032,39.29370826,-76.65038375,95,1462395555000,8CNG327,MD
LPR00032,39.29370826,-76.65038375,95,1462395566000,3V/Y9390,MD
LPR00032,39.29370826,-76.65038375,95,1462395569000,50188 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462395572000,6S/U6924,MD
LPR00032,39.29370826,-76.65038375,95,1462395577000,10864 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462395578000,7M/D 7448,MD
LPR00032,39.29370826,-76.65038375,95,1462395586000,A341026,MD
LPR00032,39.29370826,-76.65038375,95,1462395586000,SAP701,MD
LPR00032,39.29370826,-76.65038375,95,1462395591000,3J/X9438,MD
LPR00032,39.29370826,-76.65038375,95,1462395597000,9CNT337,MD
LPR00032,39.29370826,-76.65038375,95,1462395610000,6ALJ85,MD
LPR00032,39.29370826,-76.65038375,95,1462395619000,6CNS381,MD
LPR00032,39.29370826,-76.65038375,95,1462395621000,14010 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462395656000,1CNJ314,MD
LPR00032,39.29370826,-76.65038375,95,1462395676000,1AMQ46,MD
LPR00032,39.29370826,-76.65038375,95,1462395678000,7X/N7189,MD
LPR00032,39.29370826,-76.65038375,95,1462395686000,61119 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462395687000,32933 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462395702000,7AMH77,MD
LPR00032,39.29370826,-76.65038375,95,1462395702000,FNC829,MD
LPR00032,39.29370826,-76.65038375,95,1462395716000,54290 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462395717000,47783 B/Y,MD
LPR00032,39.29370826,-76.65038375,95,1462395722000,NTD389,MD
LPR00032,39.29370826,-76.65038375,95,1462395724000,44618 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462395726000,A666821,MD
LPR00032,39.29370826,-76.65038375,95,1462395731000,A022361,MD
LPR00032,39.29370826,-76.65038375,95,1462395732000,06848 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462395751000,FLX578,MD
LPR00032,39.29370826,-76.65038375,95,1462395751000,BNE632,MD
LPR00032,39.29370826,-76.65038375,95,1462395752000,A528714,MD
LPR00032,39.29370826,-76.65038375,95,1462395757000,09276 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462395760000,BXL342,MD
LPR00032,39.29370826,-76.65038375,95,1462395770000,A124425,MD
LPR00032,39.29370826,-76.65038375,95,1462395771000,5BLN88,MD
LPR00032,39.29370826,-76.65038375,95,1462395773000,LUG181,MD
LPR00032,39.29370826,-76.65038375,95,1462395798000,57687 C/A,MD
LPR00032,39.29370826,-76.65038375,95,1462395816000,7CMP85,MD
LPR00032,39.29370826,-76.65038375,95,1462395817000,07564 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462395819000,72286 C/B,MD
LPR00032,39.29370826,-76.65038375,95,1462395822000,A523711,MD
LPR00032,39.29370826,-76.65038375,95,1462395823000,52941 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462395825000,CQP392,MD
LPR00032,39.29370826,-76.65038375,95,1462395826000,VGF757,MD
LPR00032,39.29370826,-76.65038375,95,1462395828000,A370735,MD
LPR00032,39.29370826,-76.65038375,95,1462395849000,FSU574,MD
LPR00032,39.29370826,-76.65038375,95,1462395849000,A000944,MD
LPR00032,39.29370826,-76.65038375,95,1462395850000,1BLZ60,MD
LPR00032,39.29370826,-76.65038375,95,1462395853000,A784057,MD
LPR00032,39.29370826,-76.65038375,95,1462395857000,2M/D 6586,MD
LPR00032,39.29370826,-76.65038375,95,1462395864000,A566177,MD
LPR00032,39.29370826,-76.65038375,95,1462395866000,A030247,MD
LPR00032,39.29370826,-76.65038375,95,1462395870000,46786 C/C,MD
LPR00032,39.29370826,-76.65038375,95,1462395873000,7CNK767,MD
LPR00032,39.29370826,-76.65038375,95,1462395874000,2CLI42,MD
