Date/Time,Latitude,Longitude,License Plate,License State
1462449600000,39.287069462622576,-76.6723693174639,7M/D 0237,MD
1462449600000,39.294220355615614,-76.67122910447543,27784 C/A,MD
1462449601000,39.29422180369631,-76.6711737250121,0M/D 9640,MD
1462449601000,39.286585868688555,-76.67327946471718,4AMF36,MD
1462449601000,39.2942228941669,-76.67115642923743,A634879,MD
1462449601000,39.286585868688555,-76.67327946471718,6M/D 3275,MD
1462449603000,39.283787469903785,-76.6787649734042,0G/Y6330,MD
1462449604000,39.283777288581604,-76.67870558614497,A125516,MD
1462449604000,39.2837891828912,-76.67877496519363,LVR247,MD
1462449604000,39.294124406276765,-76.67111142899095,LDT497,MD
1462449605000,39.29422170060034,-76.67117536020031,6CMM56,MD
1462449605000,39.28522703156362,-76.67602673713722,A730175,MD
1462449605000,39.28522703156362,-76.67602673713722,4BLG89,MD
1462449605000,39.283781613319775,-76.67873081217577,A817299,MD
1462449607000,39.287051675697086,-76.67236853456184,5BMQ79,MD
1462449607000,39.29412241309612,-76.67114077292706,A373079,MD
1462449608000,39.28695634447991,-76.67272937925927,DTB411,MD
1462449609000,39.29411731379127,-76.67121925545621,5CNG723,MD
1462449609000,39.28695743034377,-76.67269259773948,8CNJ004,MD
1462449609000,39.29422062000289,-76.67120352317662,3M/D 5420,MD
1462449609000,39.287031882281,-76.67236766334292,08246 C/B,MD
1462449609000,39.28713427487704,-76.67237217021365,VCK779,MD
1462449609000,39.28397683884262,-76.67827676515917,7CMS49,MD
1462449609000,39.28401407730472,-76.67834889742294,24933 B/Y,MD
1462449610000,39.29422180675902,-76.67117367643492,DTQ631,MD
1462449610000,39.294120013781864,-76.67117745603639,A495121,MD
1462449610000,39.29411879193809,-76.67119637179152,9M/D 6886,MD
1462449611000,39.294116879745765,-76.67122597505372,VFO591,MD
1462449612000,39.285209431463485,-76.67599922909098,A461071,MD
1462449612000,39.294117019699456,-76.6712238083858,6BLV32,MD
1462449612000,39.285209431463485,-76.67599922909098,3M/D 5073,MD
1462449612000,39.29411738074376,-76.67121821894325,RZK409,MD
1462449613000,39.28636333615114,-76.6738190925854,4BLK05,MD
1462449613000,39.294223301831444,-76.6711499633373,33306 C/B,MD
1462449613000,39.2870693569991,-76.67236931281482,2L/A2381,MD
1462449613000,39.285209431463485,-76.67599922909098,1CNO269,MD
1462449614000,39.28704017238722,-76.67236802823686,WTH099,MD
1462449614000,39.28378292503117,-76.67873846333768,HWF826,MD
1462449615000,39.284170507308716,-76.67806220611774,SQD273,MD
1462449615000,39.28636333615114,-76.6738190925854,1BMP68,MD
1462449615000,39.29422034164727,-76.67123045601011,A395181,MD
1462449616000,39.29422055488595,-76.6712098236907,44360 C/C,MD
1462449616000,39.287127373881155,-76.67237186646223,8AMA24,MD
1462449616000,39.287127506310995,-76.67237187229121,3AMC91,MD
1462449617000,39.28379366285066,-76.67880109662424,3Z/O8878,MD
1462449618000,39.28637154038929,-76.67382997515806,YCQ047,MD
1462449618000,39.287137798031765,-76.67237232528738,88851 C/A,MD
1462449618000,39.294117006359194,-76.67122401491066,A452556,MD
1462449618000,39.286339992187415,-76.67378812781125,A043824,MD
1462449619000,39.287073313121375,-76.67236948694588,A674222,MD
1462449620000,39.283774871489065,-76.67869148733749,0T/X4310,MD
1462449620000,39.283774871489065,-76.67869148733749,1M/D 3883,MD
1462449620000,39.28713816840957,-76.67237234158978,4O/P9538,MD
1462449620000,39.28705286109135,-76.67236858673768,3BMH65,MD
1462449620000,39.29422348178502,-76.67114710912321,98931 C/B,MD
1462449621000,39.294121943062244,-76.67114769284369,CTE833,MD
1462449621000,39.29412350114155,-76.67112475454175,4BLH53,MD
1462449621000,39.283774871489065,-76.67869148733749,A128477,MD
1462449621000,39.28706339073262,-76.67236905020607,HMQ451,MD
1462449622000,39.29412106364313,-76.67116120279763,A660783,MD
1462449623000,39.287086591990715,-76.67237007142317,A101713,MD
1462449623000,39.29422254451272,-76.67116197504491,A197979,MD
1462449623000,39.29411827668962,-76.67120434851817,7CNK123,MD
1462449624000,39.28709152664909,-76.67237028862509,4AMJ33,MD
1462449624000,39.28712622069401,-76.67237181570401,39397 C/B,MD
1462449624000,39.29422154821832,-76.67117777710642,A596210,MD
1462449625000,39.29422073861465,-76.67119204666764,A730455,MD
1462449625000,39.294119273012186,-76.67118892412918,A339533,MD
1462449625000,39.29422019311349,-76.67124482768124,0M/D 2217,MD
1462449625000,39.29412086100124,-76.67116433996166,34670 C/A,MD
1462449625000,39.29412165767305,-76.67115200643002,1CLZ01,MD
1462449626000,39.28713173350089,-76.67237205835347,A994006,MD
1462449627000,39.29422261990359,-76.67116077928263,36344 C/A,MD
1462449627000,39.29412190295152,-76.67114828336044,6CNM235,MD
1462449627000,39.28378635007506,-76.67875844148647,48755 C/C,MD
1462449627000,39.29411770084531,-76.6712132633485,XDL502,MD
1462449627000,39.294119991566404,-76.671177799961,YDA842,MD
1462449627000,39.28707290034126,-76.67236946877712,7AMK11,MD
1462449627000,39.287044173324595,-76.67236820434049,JJY918,MD
